"","School.URN","School.Name","Year.6.count.NCMP","Any.other.ethnic.group","Asian","Black","Chinese","Mixed","Not.stated","White","Ethinicity..not.provided","Pupil.Index.Of.Multiple.Deprivation.Score","Pupil.Index.Of.Multiple.Deprivation.Decile","Very.Overweight.Prevalance...."
"1",113183,"School_1","15","","","","","","","15","",6,5,"6.7%"
"2",143186,"School_2","15","","","","","","","15","",9.94,5,"20.0%"
"3",142251,"School_3","9","","*","","","","","7","*",9.69,2,"0.0%"
"4",143188,"School_4","56","*","*","","","","","53","",4.18,4,"3.6%"
"5",113125,"School_5","26","","","*","","*","","22","*",9.41,2,"11.5%"
"6",136561,"School_6","27","","","","","*","*","25","",10.01,5,"14.8%"
"7",145810,"School_7","30","","","*","","*","*","27","",8.83,1,"20.0%"
"8",113126,"School_8","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",26.08,3,"0.0%"
"9",138631,"School_9","14","","","","","","","14","",13.08,5,"0.0%"
"10",113422,"School_10","9","","","","","","*","7","",3.55,4,"11.1%"
"11",141523,"School_11","47","","*","","","*","","42","",9.94,4,"12.8%"
"12",145762,"School_12","14","","","","","*","","13","",19.61,5,"14.3%"
"13",113120,"School_13","58","","*","","","","","56","",3.07,3,"13.8%"
"14",149090,"School_14","13","","","","","","","13","",13.99,3,"15.4%"
"15",142649,"School_15","11","*","","","","","","10","",7.42,2,"9.1%"
"16",143190,"School_16","16","","","","","*","","15","",6.91,5,"12.5%"
"17",147639,"School_17","14","","","","","*","","12","*",14.84,4,"7.1%"
"18",147812,"School_18","16","","","","","*","","15","*",9.25,3,"12.5%"
"19",113371,"School_19","12","","","","","*","","11","",16.36,4,"16.7%"
"20",113493,"School_20","59","","*","*","","*","","52","",3.32,2,"8.5%"
"21",137776,"School_21","14","","","","","","","14","",11.86,3,"7.1%"
"22",113133,"School_22","9","","","","","","","9","",13.89,3,"0.0%"
"23",113134,"School_23","20","","","","","","","20","",8.83,3,"0.0%"
"24",113185,"School_24","29","","","","","","","29","",5.85,3,"6.9%"
"25",145341,"School_25","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",24.59,4,"0.0%"
"26",141284,"School_26","15","","","","","","","15","",13.08,3,"13.3%"
"27",137665,"School_27","38","","","","","","","38","",4.84,3,"2.6%"
"28",145330,"School_28","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",21.28,4,"0.0%"
"29",149168,"School_29","19","","","","","","","19","",9.63,4,"0.0%"
"30",113187,"School_30","46","","","","","*","","44","",4.84,6,"6.5%"
"31",113060,"School_31","18","","","","","","","18","",15.97,5,"16.7%"
"32",143193,"School_32","64","*","*","*","","*","","60","",8.16,3,"15.6%"
